Source;Target;Label;Weight;Description
18;9;PEdge189;2;BETA-LACTAM,TETRACYCLINE
18;10;PEdge1810;2;BETA-LACTAM,TETRACYCLINE
18;11;PEdge1811;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;12;PEdge1812;2;FOSFOMYCIN,TETRACYCLINE
18;13;PEdge1813;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;14;PEdge1814;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;15;PEdge1815;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;16;PEdge1816;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;17;PEdge1817;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;1;PEdge191;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;2;PEdge192;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;3;PEdge193;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;4;PEdge194;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;5;PEdge195;2;BETA-LACTAM,TETRACYCLINE
19;6;PEdge196;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;7;PEdge197;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;8;PEdge198;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;9;PEdge199;2;BETA-LACTAM,TETRACYCLINE
19;10;PEdge1910;2;BETA-LACTAM,TETRACYCLINE
19;11;PEdge1911;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;12;PEdge1912;2;FOSFOMYCIN,TETRACYCLINE
19;13;PEdge1913;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;14;PEdge1914;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;15;PEdge1915;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;16;PEdge1916;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;17;PEdge1917;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;18;PEdge1918;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;1;PEdge201;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;2;PEdge202;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;3;PEdge203;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;4;PEdge204;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;5;PEdge205;2;BETA-LACTAM,TETRACYCLINE
20;6;PEdge206;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;7;PEdge207;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;8;PEdge208;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;9;PEdge209;2;BETA-LACTAM,TETRACYCLINE
20;10;PEdge2010;2;BETA-LACTAM,TETRACYCLINE
20;11;PEdge2011;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;12;PEdge2012;2;FOSFOMYCIN,TETRACYCLINE
20;13;PEdge2013;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;14;PEdge2014;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;15;PEdge2015;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;16;PEdge2016;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;17;PEdge2017;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;18;PEdge2018;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;19;PEdge2019;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;1;PEdge211;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;2;PEdge212;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;3;PEdge213;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;4;PEdge214;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;5;PEdge215;2;BETA-LACTAM,TETRACYCLINE
21;6;PEdge216;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;7;PEdge217;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;8;PEdge218;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;9;PEdge219;2;BETA-LACTAM,TETRACYCLINE
21;10;PEdge2110;2;BETA-LACTAM,TETRACYCLINE
21;11;PEdge2111;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;12;PEdge2112;2;FOSFOMYCIN,TETRACYCLINE
21;13;PEdge2113;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;14;PEdge2114;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;15;PEdge2115;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;16;PEdge2116;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;17;PEdge2117;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;18;PEdge2118;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;19;PEdge2119;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;20;PEdge2120;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;1;PEdge221;4;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
22;2;PEdge222;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;3;PEdge223;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;4;PEdge224;4;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
22;5;PEdge225;3;BETA-LACTAM,METHICILLIN,TETRACYCLINE
22;6;PEdge226;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;7;PEdge227;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;8;PEdge228;4;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
22;9;PEdge229;2;BETA-LACTAM,TETRACYCLINE
22;10;PEdge2210;3;BETA-LACTAM,METHICILLIN,TETRACYCLINE
22;11;PEdge2211;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;12;PEdge2212;2;FOSFOMYCIN,TETRACYCLINE
22;13;PEdge2213;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;14;PEdge2214;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;15;PEdge2215;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;16;PEdge2216;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;17;PEdge2217;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;18;PEdge2218;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;19;PEdge2219;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;20;PEdge2220;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;21;PEdge2221;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;1;PEdge231;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;2;PEdge232;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;3;PEdge233;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;4;PEdge234;4;BETA-LACTAM,FOSFOMYCIN,MACROLIDE,TETRACYCLINE
23;5;PEdge235;3;BETA-LACTAM,MACROLIDE,TETRACYCLINE
23;6;PEdge236;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;7;PEdge237;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;8;PEdge238;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;9;PEdge239;2;BETA-LACTAM,TETRACYCLINE
23;10;PEdge2310;2;BETA-LACTAM,TETRACYCLINE
23;11;PEdge2311;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;12;PEdge2312;2;FOSFOMYCIN,TETRACYCLINE
23;13;PEdge2313;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;14;PEdge2314;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;15;PEdge2315;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;16;PEdge2316;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;17;PEdge2317;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;18;PEdge2318;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;19;PEdge2319;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;20;PEdge2320;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;21;PEdge2321;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;22;PEdge2322;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;1;PEdge241;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;2;PEdge242;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;3;PEdge243;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;4;PEdge244;4;BETA-LACTAM,FOSFOMYCIN,QUINOLONE,TETRACYCLINE
24;5;PEdge245;3;BETA-LACTAM,QUINOLONE,TETRACYCLINE
24;6;PEdge246;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;7;PEdge247;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;8;PEdge248;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;9;PEdge249;2;BETA-LACTAM,TETRACYCLINE
24;10;PEdge2410;3;BETA-LACTAM,QUINOLONE,TETRACYCLINE
24;11;PEdge2411;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;12;PEdge2412;2;FOSFOMYCIN,TETRACYCLINE
24;13;PEdge2413;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;14;PEdge2414;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;15;PEdge2415;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;16;PEdge2416;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;17;PEdge2417;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;18;PEdge2418;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;19;PEdge2419;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;20;PEdge2420;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;21;PEdge2421;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;22;PEdge2422;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;23;PEdge2423;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;1;PEdge251;4;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
25;2;PEdge252;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;3;PEdge253;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;4;PEdge254;4;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
25;5;PEdge255;3;BETA-LACTAM,METHICILLIN,TETRACYCLINE
25;6;PEdge256;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;7;PEdge257;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;8;PEdge258;4;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
25;9;PEdge259;2;BETA-LACTAM,TETRACYCLINE
25;10;PEdge2510;3;BETA-LACTAM,METHICILLIN,TETRACYCLINE
25;11;PEdge2511;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;12;PEdge2512;2;FOSFOMYCIN,TETRACYCLINE
25;13;PEdge2513;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;14;PEdge2514;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;15;PEdge2515;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;16;PEdge2516;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;17;PEdge2517;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;18;PEdge2518;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;19;PEdge2519;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;20;PEdge2520;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;21;PEdge2521;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;22;PEdge2522;4;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
25;23;PEdge2523;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;24;PEdge2524;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
26;1;PEdge261;2;BETA-LACTAM,TETRACYCLINE
26;2;PEdge262;2;BETA-LACTAM,TETRACYCLINE
26;3;PEdge263;2;BETA-LACTAM,TETRACYCLINE
26;4;PEdge264;3;BETA-LACTAM,MACROLIDE,TETRACYCLINE
26;5;PEdge265;3;BETA-LACTAM,MACROLIDE,TETRACYCLINE
26;6;PEdge266;2;BETA-LACTAM,TETRACYCLINE
26;7;PEdge267;2;BETA-LACTAM,TETRACYCLINE
26;8;PEdge268;2;BETA-LACTAM,TETRACYCLINE
26;9;PEdge269;2;BETA-LACTAM,TETRACYCLINE
26;10;PEdge2610;2;BETA-LACTAM,TETRACYCLINE
26;11;PEdge2611;2;BETA-LACTAM,TETRACYCLINE
26;12;PEdge2612;1;TETRACYCLINE
26;13;PEdge2613;2;BETA-LACTAM,TETRACYCLINE
26;14;PEdge2614;2;BETA-LACTAM,TETRACYCLINE
26;15;PEdge2615;2;BETA-LACTAM,TETRACYCLINE
26;16;PEdge2616;2;BETA-LACTAM,TETRACYCLINE
26;17;PEdge2617;2;BETA-LACTAM,TETRACYCLINE
26;18;PEdge2618;2;BETA-LACTAM,TETRACYCLINE
26;19;PEdge2619;2;BETA-LACTAM,TETRACYCLINE
26;20;PEdge2620;2;BETA-LACTAM,TETRACYCLINE
26;21;PEdge2621;2;BETA-LACTAM,TETRACYCLINE
26;22;PEdge2622;2;BETA-LACTAM,TETRACYCLINE
26;23;PEdge2623;3;BETA-LACTAM,MACROLIDE,TETRACYCLINE
26;24;PEdge2624;2;BETA-LACTAM,TETRACYCLINE
26;25;PEdge2625;2;BETA-LACTAM,TETRACYCLINE
27;1;PEdge271;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;2;PEdge272;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;3;PEdge273;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;4;PEdge274;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;5;PEdge275;2;BETA-LACTAM,TETRACYCLINE
27;6;PEdge276;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;7;PEdge277;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;8;PEdge278;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;9;PEdge279;2;BETA-LACTAM,TETRACYCLINE
27;10;PEdge2710;2;BETA-LACTAM,TETRACYCLINE
27;11;PEdge2711;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;12;PEdge2712;2;FOSFOMYCIN,TETRACYCLINE
27;13;PEdge2713;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;14;PEdge2714;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;15;PEdge2715;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;16;PEdge2716;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;17;PEdge2717;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;18;PEdge2718;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;19;PEdge2719;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;20;PEdge2720;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;21;PEdge2721;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
