Source;Target;Label;Weight;title
9;7;PEdge97;0.94388;BETA-LACTAM,TETRACYCLINE
9;8;PEdge98;0.42426;BETA-LACTAM,TETRACYCLINE
10;1;PEdge101;0.50783;BETA-LACTAM,METHICILLIN,TETRACYCLINE
10;2;PEdge102;0.4842;BETA-LACTAM,TETRACYCLINE
10;3;PEdge103;0.4842;BETA-LACTAM,TETRACYCLINE
10;4;PEdge104;0.66473;BETA-LACTAM,METHICILLIN,QUINOLONE,TETRACYCLINE
10;5;PEdge105;0.91971;BETA-LACTAM,METHICILLIN,QUINOLONE,TETRACYCLINE
10;6;PEdge106;0.4842;BETA-LACTAM,TETRACYCLINE
10;7;PEdge107;0.4842;BETA-LACTAM,TETRACYCLINE
10;8;PEdge108;0.50783;BETA-LACTAM,METHICILLIN,TETRACYCLINE
10;9;PEdge109;0.51299;BETA-LACTAM,TETRACYCLINE
11;1;PEdge111;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;2;PEdge112;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;3;PEdge113;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;4;PEdge114;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;5;PEdge115;0.56408;BETA-LACTAM,TETRACYCLINE
11;6;PEdge116;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;7;PEdge117;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;8;PEdge118;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;9;PEdge119;0.94388;BETA-LACTAM,TETRACYCLINE
11;10;PEdge1110;0.4842;BETA-LACTAM,TETRACYCLINE
12;1;PEdge121;0.66742;FOSFOMYCIN,TETRACYCLINE
12;2;PEdge122;0.36364;FOSFOMYCIN,TETRACYCLINE
12;3;PEdge123;0.36364;FOSFOMYCIN,TETRACYCLINE
12;4;PEdge124;0.59774;FOSFOMYCIN,TETRACYCLINE
12;5;PEdge125;0.080582;TETRACYCLINE
12;6;PEdge126;0.36364;FOSFOMYCIN,TETRACYCLINE
12;7;PEdge127;0.36364;FOSFOMYCIN,TETRACYCLINE
12;8;PEdge128;0.66742;FOSFOMYCIN,TETRACYCLINE
12;9;PEdge129;0.13484;TETRACYCLINE
12;10;PEdge1210;0.069171;TETRACYCLINE
12;11;PEdge1211;0.36364;FOSFOMYCIN,TETRACYCLINE
13;1;PEdge131;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;2;PEdge132;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;3;PEdge133;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;4;PEdge134;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;5;PEdge135;0.56408;BETA-LACTAM,TETRACYCLINE
13;6;PEdge136;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;7;PEdge137;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;8;PEdge138;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;9;PEdge139;0.94388;BETA-LACTAM,TETRACYCLINE
13;10;PEdge1310;0.4842;BETA-LACTAM,TETRACYCLINE
13;11;PEdge1311;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;12;PEdge1312;0.36364;FOSFOMYCIN,TETRACYCLINE
14;1;PEdge141;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;2;PEdge142;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;3;PEdge143;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;4;PEdge144;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;5;PEdge145;0.56408;BETA-LACTAM,TETRACYCLINE
14;6;PEdge146;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;7;PEdge147;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;8;PEdge148;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;9;PEdge149;0.94388;BETA-LACTAM,TETRACYCLINE
14;10;PEdge1410;0.4842;BETA-LACTAM,TETRACYCLINE
14;11;PEdge1411;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;12;PEdge1412;0.36364;FOSFOMYCIN,TETRACYCLINE
14;13;PEdge1413;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;1;PEdge151;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;2;PEdge152;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;3;PEdge153;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;4;PEdge154;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;5;PEdge155;0.56408;BETA-LACTAM,TETRACYCLINE
15;6;PEdge156;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;7;PEdge157;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;8;PEdge158;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;9;PEdge159;0.94388;BETA-LACTAM,TETRACYCLINE
15;10;PEdge1510;0.4842;BETA-LACTAM,TETRACYCLINE
15;11;PEdge1511;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;12;PEdge1512;0.36364;FOSFOMYCIN,TETRACYCLINE
15;13;PEdge1513;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;14;PEdge1514;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;1;PEdge161;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;2;PEdge162;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;3;PEdge163;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;4;PEdge164;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;5;PEdge165;0.56408;BETA-LACTAM,TETRACYCLINE
16;6;PEdge166;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;7;PEdge167;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;8;PEdge168;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;9;PEdge169;0.94388;BETA-LACTAM,TETRACYCLINE
16;10;PEdge1610;0.4842;BETA-LACTAM,TETRACYCLINE
16;11;PEdge1611;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;12;PEdge1612;0.36364;FOSFOMYCIN,TETRACYCLINE
16;13;PEdge1613;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;14;PEdge1614;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;15;PEdge1615;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;1;PEdge171;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;2;PEdge172;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;3;PEdge173;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;4;PEdge174;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;5;PEdge175;0.56408;BETA-LACTAM,TETRACYCLINE
17;6;PEdge176;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;7;PEdge177;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;8;PEdge178;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;9;PEdge179;0.94388;BETA-LACTAM,TETRACYCLINE
17;10;PEdge1710;0.4842;BETA-LACTAM,TETRACYCLINE
17;11;PEdge1711;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;12;PEdge1712;0.36364;FOSFOMYCIN,TETRACYCLINE
17;13;PEdge1713;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;14;PEdge1714;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;15;PEdge1715;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;16;PEdge1716;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;1;PEdge181;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;2;PEdge182;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;3;PEdge183;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;4;PEdge184;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;5;PEdge185;0.56408;BETA-LACTAM,TETRACYCLINE
18;6;PEdge186;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;7;PEdge187;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;8;PEdge188;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;9;PEdge189;0.94388;BETA-LACTAM,TETRACYCLINE
18;10;PEdge1810;0.4842;BETA-LACTAM,TETRACYCLINE
18;11;PEdge1811;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;12;PEdge1812;0.36364;FOSFOMYCIN,TETRACYCLINE
18;13;PEdge1813;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;14;PEdge1814;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;15;PEdge1815;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;16;PEdge1816;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;17;PEdge1817;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;1;PEdge191;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;2;PEdge192;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;3;PEdge193;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;4;PEdge194;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;5;PEdge195;0.56408;BETA-LACTAM,TETRACYCLINE
19;6;PEdge196;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;7;PEdge197;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;8;PEdge198;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;9;PEdge199;0.94388;BETA-LACTAM,TETRACYCLINE
19;10;PEdge1910;0.4842;BETA-LACTAM,TETRACYCLINE
19;11;PEdge1911;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;12;PEdge1912;0.36364;FOSFOMYCIN,TETRACYCLINE
19;13;PEdge1913;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;14;PEdge1914;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;15;PEdge1915;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;16;PEdge1916;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;17;PEdge1917;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
19;18;PEdge1918;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;1;PEdge201;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;2;PEdge202;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;3;PEdge203;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;4;PEdge204;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;5;PEdge205;0.56408;BETA-LACTAM,TETRACYCLINE
20;6;PEdge206;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;7;PEdge207;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;8;PEdge208;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;9;PEdge209;0.94388;BETA-LACTAM,TETRACYCLINE
20;10;PEdge2010;0.4842;BETA-LACTAM,TETRACYCLINE
20;11;PEdge2011;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;12;PEdge2012;0.36364;FOSFOMYCIN,TETRACYCLINE
20;13;PEdge2013;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;14;PEdge2014;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;15;PEdge2015;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;16;PEdge2016;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;17;PEdge2017;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;18;PEdge2018;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
20;19;PEdge2019;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;1;PEdge211;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;2;PEdge212;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;3;PEdge213;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;4;PEdge214;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;5;PEdge215;0.56408;BETA-LACTAM,TETRACYCLINE
21;6;PEdge216;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;7;PEdge217;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;8;PEdge218;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;9;PEdge219;0.94388;BETA-LACTAM,TETRACYCLINE
21;10;PEdge2110;0.4842;BETA-LACTAM,TETRACYCLINE
21;11;PEdge2111;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;12;PEdge2112;0.36364;FOSFOMYCIN,TETRACYCLINE
21;13;PEdge2113;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;14;PEdge2114;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;15;PEdge2115;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;16;PEdge2116;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;17;PEdge2117;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;18;PEdge2118;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;19;PEdge2119;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
21;20;PEdge2120;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;1;PEdge221;1;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
22;2;PEdge222;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;3;PEdge223;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;4;PEdge224;0.86804;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
22;5;PEdge225;0.59161;BETA-LACTAM,METHICILLIN,TETRACYCLINE
22;6;PEdge226;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;7;PEdge227;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;8;PEdge228;1;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
22;9;PEdge229;0.42426;BETA-LACTAM,TETRACYCLINE
22;10;PEdge2210;0.50783;BETA-LACTAM,METHICILLIN,TETRACYCLINE
22;11;PEdge2211;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;12;PEdge2212;0.66742;FOSFOMYCIN,TETRACYCLINE
22;13;PEdge2213;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;14;PEdge2214;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;15;PEdge2215;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;16;PEdge2216;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;17;PEdge2217;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;18;PEdge2218;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;19;PEdge2219;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;20;PEdge2220;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
22;21;PEdge2221;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;1;PEdge231;0.52175;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;2;PEdge232;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;3;PEdge233;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;4;PEdge234;0.57511;BETA-LACTAM,FOSFOMYCIN,MACROLIDE,TETRACYCLINE
23;5;PEdge235;0.56695;BETA-LACTAM,MACROLIDE,TETRACYCLINE
23;6;PEdge236;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;7;PEdge237;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;8;PEdge238;0.52175;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;9;PEdge239;0.84327;BETA-LACTAM,TETRACYCLINE
23;10;PEdge2310;0.43259;BETA-LACTAM,TETRACYCLINE
23;11;PEdge2311;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;12;PEdge2312;0.35533;FOSFOMYCIN,TETRACYCLINE
23;13;PEdge2313;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;14;PEdge2314;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;15;PEdge2315;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;16;PEdge2316;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;17;PEdge2317;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;18;PEdge2318;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;19;PEdge2319;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;20;PEdge2320;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;21;PEdge2321;0.8528;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
23;22;PEdge2322;0.52175;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;1;PEdge241;0.5275;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;2;PEdge242;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;3;PEdge243;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;4;PEdge244;0.76316;BETA-LACTAM,FOSFOMYCIN,QUINOLONE,TETRACYCLINE
24;5;PEdge245;0.72446;BETA-LACTAM,QUINOLONE,TETRACYCLINE
24;6;PEdge246;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;7;PEdge247;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;8;PEdge248;0.5275;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;9;PEdge249;0.65275;BETA-LACTAM,TETRACYCLINE
24;10;PEdge2410;0.76538;BETA-LACTAM,QUINOLONE,TETRACYCLINE
24;11;PEdge2411;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;12;PEdge2412;0.44009;FOSFOMYCIN,TETRACYCLINE
24;13;PEdge2413;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;14;PEdge2414;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;15;PEdge2415;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;16;PEdge2416;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;17;PEdge2417;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;18;PEdge2418;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;19;PEdge2419;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;20;PEdge2420;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;21;PEdge2421;0.75443;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;22;PEdge2422;0.5275;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
24;23;PEdge2423;0.63892;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;1;PEdge251;0.9798;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
25;2;PEdge252;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;3;PEdge253;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;4;PEdge254;0.86625;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
25;5;PEdge255;0.48305;BETA-LACTAM,METHICILLIN,TETRACYCLINE
25;6;PEdge256;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;7;PEdge257;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;8;PEdge258;0.9798;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
25;9;PEdge259;0.34641;BETA-LACTAM,TETRACYCLINE
25;10;PEdge2510;0.41464;BETA-LACTAM,METHICILLIN,TETRACYCLINE
25;11;PEdge2511;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;12;PEdge2512;0.7785;FOSFOMYCIN,TETRACYCLINE
25;13;PEdge2513;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;14;PEdge2514;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;15;PEdge2515;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;16;PEdge2516;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;17;PEdge2517;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;18;PEdge2518;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;19;PEdge2519;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;20;PEdge2520;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;21;PEdge2521;0.54495;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;22;PEdge2522;0.9798;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
25;23;PEdge2523;0.48686;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
25;24;PEdge2524;0.53838;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
26;1;PEdge261;0.36515;BETA-LACTAM,TETRACYCLINE
26;2;PEdge262;0.87039;BETA-LACTAM,TETRACYCLINE
26;3;PEdge263;0.87039;BETA-LACTAM,TETRACYCLINE
26;4;PEdge264;0.48425;BETA-LACTAM,MACROLIDE,TETRACYCLINE
26;5;PEdge265;0.61721;BETA-LACTAM,MACROLIDE,TETRACYCLINE
26;6;PEdge266;0.87039;BETA-LACTAM,TETRACYCLINE
26;7;PEdge267;0.87039;BETA-LACTAM,TETRACYCLINE
26;8;PEdge268;0.36515;BETA-LACTAM,TETRACYCLINE
26;9;PEdge269;0.9037;BETA-LACTAM,TETRACYCLINE
26;10;PEdge2610;0.46359;BETA-LACTAM,TETRACYCLINE
26;11;PEdge2611;0.87039;BETA-LACTAM,TETRACYCLINE
26;12;PEdge2612;0.087039;TETRACYCLINE
26;13;PEdge2613;0.87039;BETA-LACTAM,TETRACYCLINE
26;14;PEdge2614;0.87039;BETA-LACTAM,TETRACYCLINE
26;15;PEdge2615;0.87039;BETA-LACTAM,TETRACYCLINE
26;16;PEdge2616;0.87039;BETA-LACTAM,TETRACYCLINE
26;17;PEdge2617;0.87039;BETA-LACTAM,TETRACYCLINE
26;18;PEdge2618;0.87039;BETA-LACTAM,TETRACYCLINE
26;19;PEdge2619;0.87039;BETA-LACTAM,TETRACYCLINE
26;20;PEdge2620;0.87039;BETA-LACTAM,TETRACYCLINE
26;21;PEdge2621;0.87039;BETA-LACTAM,TETRACYCLINE
26;22;PEdge2622;0.36515;BETA-LACTAM,TETRACYCLINE
26;23;PEdge2623;0.8165;BETA-LACTAM,MACROLIDE,TETRACYCLINE
26;24;PEdge2624;0.60193;BETA-LACTAM,TETRACYCLINE
26;25;PEdge2625;0.29814;BETA-LACTAM,TETRACYCLINE
27;1;PEdge271;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;2;PEdge272;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;3;PEdge273;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
27;4;PEdge274;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
